b,c
b8,c44
b14,c60
b3,c49
b4,c19
b68,c61
b49,c40
b4,c44
b11,c67
b23,c56
b28,c0
b30,c28
b34,c35
b4,c61
b4,c41
b20,c24
b27,c30
b38,c25
b25,c45
b1,c52
b58,c33
b13,c36
b22,c7
b62,c39
b0,c59
b34,c66
b8,c36
b34,c51
b37,c18
b51,c4
b65,c4
b45,c33
b25,c33
b29,c46
b57,c39
b25,c29
b50,c11
b14,c62
b70,c33
b38,c46
b12,c11
b24,c35
b56,c40
b22,c55
b59,c35
b58,c49
b31,c13
b67,c23
b55,c58
b23,c16
b51,c6
b4,c26
b6,c66
b70,c37
b2,c26
b46,c0
b44,c24
b48,c9
b38,c8
b13,c8
b54,c23
b38,c13
b3,c9
b5,c27
b32,c26
b12,c69
b20,c45
b42,c47
b15,c4
b30,c23
b42,c54
b57,c54
b37,c36
b40,c70
b3,c26
b30,c40
b14,c40
b42,c53
b5,c59
b10,c57
b5,c13
b68,c44
b10,c27
b50,c57
b42,c33
b66,c23
b2,c61
b57,c56
b35,c63
b10,c8
b46,c61
b24,c48
b46,c38
b53,c5
b11,c52
b1,c43
b25,c10
b60,c33
b67,c46
b61,c40
b64,c54
b35,c42
b19,c10
b5,c66
b19,c42
b49,c36
b63,c57
b54,c18
b16,c29
b20,c6
b46,c19
b1,c66
b38,c61
b20,c70
b62,c10
b42,c56
b2,c30
b0,c68
b15,c63
b67,c51
b0,c13
b47,c37
b4,c30
b36,c65
b47,c5
b37,c30
b6,c16
b43,c52
b24,c11
b68,c4
b48,c11
b0,c31
b50,c44
b2,c48
b28,c1
b21,c1
b21,c57
b61,c29
b14,c29
b57,c41
b70,c27
b23,c64
b48,c34
b64,c38
b49,c33
b7,c10
b38,c26
b56,c23
b61,c44
b39,c44
b31,c2
b64,c22
b27,c70
b5,c15
b35,c59
b2,c60
b17,c19
b41,c49
b62,c65
b58,c50
b65,c38
b12,c8
b47,c64
b48,c0
b9,c0
b55,c22
b23,c10
b27,c14
b24,c20
b9,c42
b27,c53
b22,c53
b52,c36
b42,c50
b21,c60
b70,c63
b23,c14
b40,c50
b34,c61
b19,c18
b58,c12
b2,c46
b21,c31
b12,c58
b19,c24
b43,c18
b69,c43
b29,c30
b20,c30
b52,c13
b10,c53
b45,c22
b16,c22
b54,c39
b15,c35
b62,c12
b65,c21
b2,c32
b39,c1
b6,c49
b13,c47
b70,c45
b6,c5
b39,c28
b38,c65
b4,c55
b25,c36
b55,c28
b70,c49
b12,c38
b64,c55
b64,c42
b7,c12
b63,c43
b42,c26
b34,c52
b50,c66
b34,c44
b47,c68
b37,c11
b34,c49
b13,c1
b65,c7
b24,c32
b36,c29
b14,c10
b45,c3
b2,c28
b43,c66
b2,c27
b43,c57
b32,c48
b35,c6
b5,c50
b31,c62
b16,c36
b70,c15
b45,c44
b34,c32
b12,c68
b30,c60
b22,c54
b69,c10
b26,c66
b39,c3
b11,c2
b63,c64
b57,c64
b44,c45
b65,c34
b25,c23
b42,c61
b28,c22
b17,c68
b70,c21
b0,c64
b9,c60
b29,c32
b40,c54
b59,c47
b63,c44
b48,c13
b62,c40
b24,c31
b37,c56
b54,c66
b55,c17
b69,c8
b46,c21
b68,c47
b3,c2
b3,c56
b63,c54
b45,c57
b70,c57
b13,c0
b23,c35
b35,c50
b42,c58
b58,c20
b27,c40
b12,c59
b4,c2
b14,c31
b45,c39
b24,c22
b29,c60
b20,c36
b58,c43
b50,c50
b58,c15
b41,c39
b10,c44
b25,c65
b70,c9
b48,c63
b61,c68
b34,c28
b59,c4
b6,c43
b28,c9
b22,c61
b24,c62
b61,c3
b9,c32
b26,c26
b34,c38
b60,c47
b56,c57
b53,c45
b32,c1
b60,c39
b36,c11
b67,c69
b58,c11
b52,c35
b46,c4
b40,c40
b11,c40
b4,c69
b55,c51
b66,c43
b47,c69
b70,c20
b16,c24
b19,c22
b33,c19
b5,c7
b33,c43
b33,c47
b48,c22
b46,c49
b24,c29
b16,c57
b38,c27
b70,c7
b44,c5
b6,c13
b41,c44
b67,c53
b58,c21
b43,c2
b44,c58
b34,c19
b59,c10
b39,c67
b68,c51
b6,c68
b8,c11
b22,c43
b5,c39
b36,c59
b53,c3
b29,c57
b22,c31
b47,c49
b8,c8
b62,c30
b4,c28
b52,c37
b3,c50
b33,c64
b1,c19
b5,c29
b65,c37
b34,c34
b54,c7
b0,c28
b67,c29
b60,c27
b53,c51
b14,c43
b13,c42
b4,c0
b42,c49
b43,c58
b63,c3
b11,c13
b15,c46
b38,c1
b53,c23
b41,c46
b30,c27
b41,c62
b61,c2
b28,c70
b51,c12
b59,c63
b29,c5
b16,c54
b45,c11
b60,c29
b24,c9
b64,c15
b45,c66
b70,c51
b35,c19
b58,c31
b46,c22
b0,c32
b2,c34
b14,c17
b39,c16
b42,c15
b59,c41
b50,c18
b57,c11
b63,c48
b56,c65
b10,c68
b33,c66
b11,c51
b23,c47
b39,c25
b5,c65
b34,c41
b48,c52
b50,c19
b25,c42
b11,c21
b48,c1
b35,c54
b44,c0
b0,c70
b15,c8
b38,c51
b16,c40
b31,c43
b36,c22
b18,c3
b60,c13
b20,c2
b4,c49
b66,c69
b0,c48
b21,c22
b43,c20
b19,c57
b48,c15
b42,c11
b13,c2
b35,c20
b38,c50
b17,c0
b49,c15
b31,c8
b64,c39
b66,c3
b23,c66
b28,c4
b52,c6
b25,c63
b6,c58
b62,c9
b59,c15
b9,c63
b23,c38
b59,c66
b8,c33
b21,c52
b47,c14
b3,c66
b53,c50
b30,c16
b0,c61
b7,c58
b44,c44
b13,c49
b7,c25
b29,c33
b2,c12
b56,c46
b36,c13
b51,c53
b28,c44
b33,c22
b45,c4
b9,c65
b14,c57
b29,c52
b60,c26
b0,c20
b9,c3
b14,c41
b18,c47
b34,c47
b51,c62
b45,c21
b6,c0
b62,c47
b51,c27
b21,c32
b70,c22
b56,c4
b35,c9
b37,c33
b7,c4
b28,c53
b1,c40
b0,c47
b28,c34
b37,c35
b10,c62
b11,c0
b9,c44
b42,c30
b29,c11
b45,c26
b28,c60
b25,c37
b26,c33
b36,c45
b41,c34
b23,c52
b6,c39
b56,c51
b53,c65
b31,c7
b47,c44
b58,c17
b3,c36
b11,c49
b1,c29
b55,c57
b3,c40
b18,c52
b14,c49
b65,c42
b37,c38
b28,c35
b28,c33
b26,c67
b51,c18
b1,c49
b44,c67
b63,c55
b9,c16
b34,c68
b13,c34
b40,c19
b12,c21
b60,c19
b3,c18
b47,c62
b3,c17
b68,c46
b67,c35
b0,c60
b56,c1
b51,c70
b12,c26
b31,c28
b53,c39
b24,c3
b61,c19
b8,c31
b70,c11
b54,c49
b57,c21
b31,c9
b66,c30
b1,c31
b31,c51
b6,c20
b51,c38
b42,c19
b47,c15
b51,c24
b23,c17
b18,c27
b69,c16
b0,c66
b2,c21
b31,c64
b40,c7
b38,c52
b55,c11
b44,c25
b60,c66
b15,c21
b48,c21
b9,c43
b30,c51
b52,c63
b29,c64
b25,c62
b49,c69
b53,c69
b58,c48
b40,c62
b14,c11
b29,c19
b20,c12
b54,c15
b26,c31
b35,c46
b22,c14
b55,c46
b28,c46
b54,c34
b7,c23
b60,c34
b17,c7
b18,c58
b1,c30
b57,c60
b28,c10
b43,c54
b58,c37
b2,c6
b52,c26
b33,c36
b12,c57
b56,c28
b8,c54
b38,c48
b22,c36
b2,c4
b42,c10
b59,c27
b46,c32
b54,c70
b5,c0
b46,c50
b62,c53
b27,c61
b63,c52
b5,c49
b19,c25
b21,c55
b43,c42
b20,c21
b60,c10
b67,c8
b43,c61
b20,c0
b37,c1
b6,c44
b48,c46
b45,c55
b22,c52
b53,c16
b36,c58
b44,c51
b17,c55
b56,c33
b11,c63
b40,c47
b41,c59
b1,c63
b69,c56
b29,c68
b43,c17
b25,c57
b0,c43
b52,c41
b30,c47
b33,c31
b0,c25
b20,c54
b51,c2
b41,c3
b4,c20
b13,c62
b63,c50
b58,c2
b41,c18
b33,c57
b21,c47
b16,c48
b9,c39
b13,c7
b42,c1
b15,c48
b43,c41
b49,c70
b51,c5
b8,c52
b65,c41
b64,c44
b29,c20
b27,c12
b70,c25
b69,c21
b16,c23
b64,c37
b34,c36
b57,c0
b28,c24
b27,c68
b44,c59
b27,c4
b22,c28
b25,c34
b4,c58
b33,c68
b65,c48
b66,c65
b24,c27
b14,c20
b7,c35
b21,c66
b17,c48
b26,c13
b15,c38
b26,c30
b70,c14
b21,c0
b66,c46
b35,c15
b15,c51
b21,c36
b70,c2
b69,c40
b30,c46
b62,c0
b31,c5
b20,c28
b19,c50
b46,c9
b5,c62
b35,c26
b24,c67
b60,c67
b56,c6
b18,c33
b15,c14
b44,c41
b29,c23
b51,c44
b25,c28
b14,c39
b11,c19
b58,c54
b16,c25
b25,c68
b44,c70
b0,c12
b56,c67
b52,c5
b41,c15
b70,c5
b12,c28
b44,c63
b17,c5
b37,c15
b1,c51
b6,c24
b37,c20
b24,c66
b58,c10
b24,c37
b60,c30
b32,c9
b32,c44
b57,c66
b46,c12
b42,c0
b6,c22
b1,c17
b34,c57
b32,c32
b42,c35
b20,c67
b43,c19
b13,c41
b3,c28
b41,c47
b59,c2
b16,c61
b34,c33
b6,c25
b63,c24
b46,c17
b22,c0
b58,c28
b16,c18
b32,c55
b36,c54
b51,c33
b30,c31
b9,c53
b16,c38
b33,c53
b2,c69
b0,c56
b12,c63
b56,c27
b33,c48
b3,c62
b60,c28
b51,c58
b48,c32
b0,c29
b50,c4
b38,c68
b42,c65
b8,c20
b40,c46
b4,c4
b62,c57
b37,c53
b35,c7
b35,c28
b48,c41
b67,c41
b33,c1
b55,c42
b18,c49
b25,c54
b44,c20
b3,c68
b9,c57
b24,c15
b8,c38
b66,c17
b17,c32
b33,c7
b49,c29
b11,c44
b9,c49
b23,c9
b9,c40
b22,c59
b56,c39
b5,c12
b55,c39
b39,c40
b31,c57
b60,c42
b63,c12
b44,c21
b65,c18
b21,c42
b56,c21
b5,c19
b48,c30
b52,c17
b16,c8
b12,c7
b27,c65
b30,c58
b10,c46
b65,c33
b59,c29
b36,c8
b7,c0
b28,c37
b0,c33
b30,c30
b47,c47
b48,c53
b23,c57
b33,c54
b17,c30
b7,c36
b37,c57
b65,c55
b48,c31
b26,c51
b45,c24
b36,c52
b41,c58
b38,c31
b25,c27
b69,c68
b57,c25
b51,c59
b54,c67
b32,c0
b52,c52
b55,c66
b41,c50
b20,c69
b26,c6
b13,c65
b19,c32
b43,c51
b10,c13
b58,c46
b12,c36
b14,c48
b48,c26
b42,c37
b19,c36
b38,c35
b10,c15
b36,c15
b6,c56
b48,c17
b49,c56
b25,c35
b7,c28
b19,c60
b30,c55
b28,c18
b28,c13
b9,c58
b32,c13
b65,c64
b61,c27
b59,c20
b46,c57
b18,c21
b70,c61
b31,c21
b6,c63
b12,c9
b57,c40
b53,c56
b57,c50
b64,c19
b65,c28
b0,c15
b38,c42
b69,c63
b3,c7
b51,c65
b53,c28
b53,c26
b18,c42
b41,c66
b39,c55
b57,c62
b31,c54
b15,c3
b23,c34
b69,c20
b69,c33
b39,c4
b18,c46
b68,c18
b66,c45
b52,c38
b62,c6
b59,c54
b24,c44
b26,c52
b7,c19
b20,c42
b57,c7
b62,c38
b40,c35
b16,c55
b23,c36
b16,c19
b40,c5
b70,c23
b63,c62
b11,c55
b46,c13
b17,c58
b56,c14
b11,c62
b23,c43
b6,c55
b0,c53
b5,c25
b11,c11
b57,c28
b25,c7
b33,c58
b36,c64
b55,c35
b12,c29
b59,c11
b3,c11
b58,c8
b56,c34
b50,c0
b24,c23
b34,c65
b63,c35
b26,c41
b60,c18
b30,c43
b19,c27
b11,c60
b68,c17
b65,c24
b44,c40
b62,c37
b63,c47
b63,c27
b49,c68
b51,c29
b1,c27
b15,c18
b7,c42
b68,c66
b33,c70
b20,c65
b27,c55
b61,c35
b17,c29
b22,c20
b1,c58
b33,c63
b17,c69
b4,c39
b32,c59
b40,c10
b1,c10
b8,c35
b4,c22
b11,c53
b61,c53
b65,c69
b65,c61
b64,c7
b57,c35
b50,c24
b19,c38
b6,c12
b28,c23
b69,c45
b11,c61
b47,c20
b35,c68
b68,c52
b49,c13
b6,c60
b46,c43
b4,c15
b9,c68
b50,c68
b54,c5
b43,c32
b33,c55
b10,c20
b3,c6
b10,c36
b15,c39
b49,c35
b56,c41
b27,c29
b3,c15
b4,c70
b33,c52
b49,c4
b60,c3
b32,c33
b11,c29
b39,c50
b46,c26
b63,c8
b16,c3
b49,c63
b60,c0
b13,c61
b14,c64
b22,c65
b61,c0
b69,c58
b24,c34
b16,c69
b4,c38
b43,c6
b38,c7
b30,c14
b34,c64
b5,c44
b19,c67
b51,c25
b36,c7
b17,c62
b69,c3
b58,c65
b21,c17
b68,c19
b45,c9
b2,c35
b15,c61
b29,c70
b15,c59
b18,c66
b57,c16
b9,c31
b61,c41
b26,c38
b12,c66
b48,c23
b50,c61
b42,c32
b31,c30
b21,c59
b38,c53
b14,c27
b70,c26
b39,c2
b37,c66
b4,c10
b36,c39
b69,c25
b35,c22
b14,c45
b59,c55
b14,c5
b64,c62
b10,c52
b13,c18
b16,c2
b55,c32
b68,c68
b40,c33
b16,c7
b64,c4
b66,c49
b25,c69
b42,c51
b4,c62
b66,c59
b65,c49
b27,c21
b31,c55
b60,c4
b34,c55
b66,c18
b36,c48
b62,c16
b22,c23
b12,c54
b45,c29
b12,c50
b9,c55
b23,c4
b63,c7
b64,c2
b11,c30
b41,c16
b3,c20
b20,c34
b54,c59
b69,c24
b42,c39
b67,c48
b22,c13
b30,c42
b32,c20
b12,c65
b51,c35
b37,c0
b11,c31
b59,c16
b33,c34
b28,c51
b20,c18
b52,c27
b24,c63
b56,c36
b47,c59
b28,c2
b49,c8
b61,c30
b18,c24
b48,c43
b36,c31
b0,c42
b56,c8
b46,c2
b36,c12
b25,c16
b59,c69
b7,c7
b0,c23
b57,c34
b20,c49
b29,c66
b33,c11
b54,c53
b14,c21
b66,c53
b14,c1
b8,c4
b64,c13
b49,c34
b38,c36
b68,c41
b8,c69
b21,c33
b50,c67
b21,c14
b42,c24
b27,c58
b64,c52
b59,c40
b67,c70
b33,c60
b27,c47
b31,c34
b27,c15
b30,c17
b52,c69
b35,c0
b34,c48
b56,c35
b16,c42
b1,c65
b0,c52
b4,c11
b61,c49
b7,c11
b38,c18
b30,c49
b52,c3
b48,c68
b35,c27
b70,c1
b33,c42
b56,c54
b25,c43
b67,c60
b9,c20
b20,c10
b64,c29
b21,c12
b62,c41
b4,c5
b13,c67
b9,c19
b24,c69
b50,c3
b21,c41
b24,c58
b31,c22
b10,c28
b61,c46
b11,c66
b9,c21
b9,c48
b55,c33
b65,c58
b22,c5
b61,c24
b21,c18
b20,c9
b60,c49
b39,c6
b64,c67
b32,c4
b57,c24
b68,c36
b38,c43
b67,c47
b15,c53
b21,c19
b46,c35
b2,c7
b43,c16
b22,c8
b31,c41
b34,c20
b37,c5
b15,c29
b39,c30
b31,c61
b51,c23
b27,c32
b41,c11
b24,c6
b47,c4
b40,c22
b33,c69
b19,c8
b18,c0
b15,c47
b60,c41
b50,c13
b7,c56
b53,c15
b65,c60
b32,c45
b35,c67
b61,c54
b44,c39
b53,c68
b43,c29
b33,c4
b19,c15
b66,c20
b49,c0
b41,c9
b43,c62
b28,c52
b43,c59
b51,c14
b51,c32
b42,c57
b50,c10
b17,c28
b41,c28
b12,c60
b25,c32
b52,c28
b67,c3
b37,c28
b23,c27
b46,c40
b25,c47
b66,c41
b46,c6
b54,c28
b10,c47
b4,c23
b32,c6
b5,c38
b56,c43
b26,c5
b39,c11
b32,c56
b1,c54
b52,c31
b22,c17
b10,c64
b34,c39
b59,c39
b65,c20
b11,c42
b2,c55
b69,c6
b39,c39
b68,c63
b61,c70
b32,c30
b48,c60
b21,c29
b0,c16
b28,c55
b25,c4
b35,c53
b60,c57
b6,c57
b12,c20
b62,c68
b45,c37
b7,c37
b19,c55
b40,c26
b53,c10
b39,c69
b62,c11
b67,c44
b10,c7
b44,c52
b37,c40
b25,c20
b35,c10
b14,c63
b40,c64
b5,c37
b34,c42
b49,c31
b52,c32
b60,c23
b57,c8
b58,c55
b64,c21
b22,c25
b65,c12
b41,c38
b59,c52
b1,c22
b56,c10
b57,c59
b32,c25
b25,c66
b24,c53
b9,c54
b39,c21
b33,c20
b10,c42
b9,c13
b15,c17
b28,c31
b43,c25
b65,c43
b12,c35
b30,c29
b53,c44
b54,c24
b17,c9
b14,c25
b33,c12
b12,c51
b50,c63
b8,c50
b28,c38
b40,c32
b13,c44
b22,c38
b51,c41
b37,c69
b13,c3
b38,c24
b44,c60
b22,c68
b38,c44
b36,c55
b9,c38
b52,c40
b63,c0
b68,c15
b13,c37
b46,c10
b6,c36
b36,c38
b46,c56
b45,c70
b49,c38
b5,c2
b18,c50
b52,c67
b13,c23
b49,c7
b20,c4
b5,c17
b14,c54
b62,c25
b50,c58
b50,c49
b29,c18
b59,c70
b21,c8
b36,c21
b3,c24
b14,c67
b12,c23
b54,c33
b2,c43
b0,c27
b69,c50
b12,c45
b28,c17
b14,c6
b15,c2
b52,c11
b24,c13
b14,c26
b18,c14
b18,c26
b16,c33
b0,c4
b57,c20
b53,c25
b60,c52
b58,c13
b36,c40
b45,c5
b0,c0
b10,c48
b5,c22
b17,c49
b38,c32
b54,c69
b36,c62
b59,c58
b55,c55
b48,c59
b31,c35
b20,c44
b40,c48
b15,c58
b14,c18
b61,c51
b15,c37
b49,c61
b60,c36
b24,c7
b12,c34
b26,c35
b68,c0
b8,c32
b37,c58
b54,c54
b16,c51
b6,c28
b15,c43
b0,c69
b13,c4
b9,c25
b58,c47
b62,c24
b67,c25
b15,c45
b19,c63
b41,c33
b13,c58
b4,c24
b53,c37
b62,c34
b28,c68
b61,c47
b55,c7
b13,c51
b41,c10
b52,c34
b2,c8
b46,c45
b41,c5
b42,c14
b0,c7
b48,c48
b19,c45
b68,c70
b68,c9
b41,c14
b59,c14
b31,c45
b39,c8
b43,c4
b65,c31
b54,c1
b8,c45
b67,c66
b29,c65
b46,c33
b8,c23
b57,c30
b48,c4
b66,c51
b59,c53
b69,c18
b2,c49
b65,c5
b18,c2
b52,c49
b36,c70
b64,c58
b9,c22
b46,c34
b29,c44
b19,c5
b49,c5
b62,c50
b41,c64
b24,c21
b65,c66
b48,c20
b15,c56
b35,c61
b30,c11
b36,c68
b67,c26
b51,c54
b30,c25
b3,c43
b11,c50
b52,c58
b57,c19
b56,c64
b68,c13
b12,c17
b62,c21
b20,c40
b15,c23
b49,c67
b18,c13
b34,c31
b44,c36
b65,c29
b57,c23
b11,c1
b64,c8
b38,c2
b69,c22
b62,c26
b57,c6
b43,c23
b36,c23
b55,c69
b18,c30
b62,c49
b17,c26
b53,c38
b36,c49
b69,c9
b33,c24
b42,c36
b58,c53
b67,c42
b6,c10
b19,c33
b17,c31
b44,c11
b45,c17
b27,c35
b0,c1
b40,c34
b13,c68
b47,c50
b70,c54
b49,c66
b26,c21
b52,c20
b57,c70
b54,c21
b50,c2
b65,c17
b60,c5
b43,c13
b10,c5
b42,c3
b59,c43
b64,c28
b54,c55
b52,c51
b51,c22
b3,c25
b45,c32
b57,c38
b33,c37
b70,c10
b64,c34
b65,c13
b11,c15
b4,c56
b4,c13
b61,c22
b13,c27
b17,c6
b5,c28
b39,c5
b8,c10
b69,c4
b65,c53
b44,c10
b58,c36
b15,c57
b15,c25
b5,c69
b31,c31
b13,c48
b4,c17
b38,c54
b55,c61
b51,c3
b58,c60
b63,c30
b24,c60
b62,c70
b31,c12
b3,c55
b47,c3
b14,c13
b6,c37
b1,c23
b47,c42
b13,c43
b55,c40
b13,c35
b29,c62
b0,c6
b37,c68
b27,c33
b40,c14
b18,c69
b10,c43
b64,c14
b2,c38
b0,c44
b11,c46
b0,c21
b1,c61
b2,c20
b23,c28
b6,c34
b41,c52
b35,c3
b53,c55
b23,c60
b29,c21
b49,c24
b43,c64
b42,c23
b38,c66
b61,c39
b46,c58
b19,c17
b67,c17
b64,c50
b50,c35
b45,c20
b34,c23
b44,c68
b34,c22
b35,c66
b18,c56
b28,c63
b63,c6
b11,c28
b0,c67
b12,c24
b59,c7
b11,c5
b59,c51
b60,c56
b16,c9
b49,c44
b62,c32
b61,c36
b46,c64
b19,c37
b65,c40
b70,c68
b11,c35
b2,c5
b61,c37
b26,c44
b53,c18
b8,c18
b38,c29
b36,c53
b14,c34
b16,c1
b68,c37
b57,c27
b41,c61
b64,c1
b38,c38
b13,c66
b62,c22
b23,c39
b34,c70
b48,c61
b28,c54
b69,c1
b31,c19
b14,c28
b15,c54
b30,c66
b27,c66
b12,c40
b30,c67
b69,c44
b19,c13
b7,c45
b49,c28
b51,c30
b45,c23
b32,c37
b70,c53
b16,c17
b1,c2
b4,c67
b5,c26
b34,c53
b27,c37
b17,c13
b30,c63
b44,c55
b2,c14
b43,c27
b26,c36
b45,c60
b32,c10
b43,c11
b22,c48
b44,c3
b60,c7
b3,c16
b55,c65
b51,c48
b23,c3
b10,c25
b33,c50
b36,c46
b56,c47
b23,c48
b35,c55
b3,c69
b5,c32
b38,c4
b65,c10
b33,c16
b19,c59
b20,c25
b26,c18
b55,c37
b40,c49
b32,c14
b10,c26
b18,c63
b17,c54
b10,c33
b69,c19
b37,c6
b53,c43
b53,c32
b53,c53
b61,c15
b19,c7
b1,c53
b19,c58
b69,c31
b36,c14
b30,c1
b26,c49
b17,c18
b59,c59
b21,c51
b59,c44
b5,c10
b25,c3
b8,c17
b65,c52
b51,c8
b3,c58
b4,c7
b18,c41
b53,c7
b3,c1
b55,c60
b63,c34
b60,c69
b41,c22
b18,c44
b21,c7
b28,c45
b61,c62
b41,c4
b7,c65
b35,c62
b65,c25
b64,c9
b47,c29
b3,c29
b59,c37
b20,c13
b27,c64
b8,c39
b18,c35
b10,c24
b5,c54
b16,c32
b16,c62
b18,c39
b5,c61
b37,c41
b30,c69
b4,c36
b17,c20
b69,c55
b2,c59
b57,c49
b62,c63
b55,c25
b53,c4
b56,c61
b44,c28
b17,c47
b3,c27
b56,c42
b19,c6
b10,c66
b55,c64
b58,c32
b11,c25
b5,c46
b9,c64
b40,c65
b33,c59
b14,c46
b61,c60
b48,c64
b4,c45
b51,c20
b64,c69
b53,c33
b65,c56
b46,c15
b11,c37
b33,c32
b45,c48
b49,c16
b24,c49
b9,c2
b59,c5
b51,c39
b40,c56
b67,c30
b59,c42
b54,c2
b17,c25
b37,c37
b60,c1
b37,c19
b42,c55
b43,c60
b3,c42
b3,c31
b42,c7
b44,c64
b36,c28
b37,c67
b56,c2
b11,c3
b32,c49
b55,c41
b22,c37
b5,c40
b2,c54
b27,c43
b10,c54
b45,c69
b52,c45
b36,c37
b65,c9
b36,c20
b8,c41
b41,c65
b8,c65
b66,c64
b69,c32
b64,c63
b45,c59
b14,c8
b49,c2
b56,c24
b61,c67
b10,c11
b56,c16
b50,c62
b27,c49
b28,c61
b33,c61
b21,c4
b52,c14
b51,c10
b65,c47
b38,c20
b0,c26
b9,c8
b7,c57
b68,c26
b34,c2
b49,c65
b70,c34
b35,c60
b66,c34
b68,c56
b25,c26
b68,c27
b70,c60
b62,c23
b10,c19
b23,c63
b57,c45
b58,c69
b53,c22
b70,c19
b62,c60
b35,c32
b38,c47
b68,c3
b17,c22
b27,c18
b26,c9
b18,c18
b16,c37
b31,c38
b32,c2
b1,c36
b0,c63
b31,c59
b23,c53
b38,c58
b65,c57
b36,c44
b14,c59
b64,c33
b46,c59
b0,c35
b70,c30
b47,c67
b56,c70
b70,c31
b45,c0
b37,c25
b28,c39
b18,c28
b28,c28
b26,c47
b39,c37
b48,c24
b6,c19
b2,c11
b68,c7
b41,c43
b21,c65
b26,c24
b41,c6
b24,c26
b40,c23
b35,c58
b16,c41
b8,c63
b61,c11
b66,c54
b20,c48
b39,c35
b5,c42
b3,c39
b20,c55
b67,c10
b61,c26
b1,c15
b24,c4
b41,c36
b59,c24
b32,c7
b9,c23
b23,c31
b48,c47
b67,c61
b40,c3
b69,c34
b59,c17
b61,c34
b4,c29
b68,c23
b61,c48
b12,c31
b22,c57
b16,c14
b35,c11
b44,c69
b18,c6
b39,c22
b37,c31
b53,c49
b56,c25
b55,c49
b21,c23
b17,c42
b22,c69
b5,c55
b58,c29
b46,c25
b23,c40
b18,c48
b50,c8
b15,c20
b25,c48
b3,c52
b15,c30
b21,c53
b49,c48
b10,c70
b68,c57
b37,c50
b16,c59
b9,c9
b67,c4
b66,c31
b12,c37
b8,c28
b19,c34
b62,c28
b66,c15
b26,c11
b8,c27
b33,c26
b19,c47
b2,c45
b7,c8
b11,c10
b66,c11
b7,c30
b58,c35
b31,c63
b18,c61
b6,c9
b1,c70
b21,c58
b25,c59
b48,c27
b14,c42
b15,c12
b27,c36
b5,c36
b47,c60
b26,c7
b56,c63
b29,c0
b43,c26
b15,c69
b49,c19
b30,c32
b30,c37
b38,c60
b40,c29
b8,c51
b69,c69
b26,c22
b28,c6
b27,c23
b19,c11
b42,c13
b21,c10
b11,c43
b26,c43
b0,c17
b64,c20
b10,c39
b59,c38
b61,c45
b6,c2
b50,c14
b68,c6
b51,c60
b30,c22
b39,c45
b1,c34
b40,c20
b18,c4
b35,c2
b65,c39
b7,c70
b40,c15
b22,c58
b2,c18
b31,c60
b53,c12
b30,c50
b12,c42
b60,c55
b35,c24
b16,c64
b32,c41
b45,c10
b25,c14
b39,c38
b54,c48
b24,c17
b50,c69
b3,c46
b7,c9
b62,c18
b53,c63
b40,c66
b44,c17
b34,c6
b61,c12
b6,c54
b36,c36
b58,c59
b4,c52
b10,c56
b59,c34
b19,c66
b43,c14
b59,c6
b9,c11
b61,c4
b70,c18
b66,c16
b44,c61
b36,c17
b66,c12
b61,c21
b55,c50
b35,c37
b4,c8
b54,c17
b7,c16
b40,c68
b12,c16
b32,c69
b11,c4
b34,c17
b9,c5
b65,c36
b2,c24
b28,c26
b56,c30
b28,c47
b27,c26
b65,c26
b65,c2
b8,c56
b52,c48
b15,c41
b7,c15
b24,c16
b39,c7
b59,c36
b66,c8
b3,c57
b64,c60
b50,c39
b70,c67
b27,c10
b28,c29
b63,c22
b29,c13
b12,c18
b69,c23
b10,c3
b48,c69
b50,c20
b31,c16
b27,c45
b16,c45
b38,c15
b10,c35
b33,c51
b60,c43
b1,c0
b31,c58
b21,c15
b39,c33
b2,c39
b18,c12
b22,c46
b67,c32
b50,c47
b49,c22
b35,c21
b10,c14
b25,c64
b6,c42
b64,c61
b61,c64
b61,c59
b57,c37
b59,c26
b63,c60
b37,c29
b8,c70
b37,c49
b68,c48
b65,c50
b20,c38
b70,c35
b48,c66
b37,c9
b2,c63
b52,c21
b12,c12
b55,c23
b70,c48
b57,c42
b8,c48
b13,c12
b50,c56
b21,c28
b20,c8
b56,c38
b6,c14
b58,c16
b36,c10
b3,c64
b19,c29
b50,c22
b22,c42
b7,c34
b33,c44
b23,c45
b1,c56
b48,c7
b0,c9
b8,c59
b38,c40
b48,c10
b53,c60
b14,c51
b43,c40
b58,c27
b36,c56
b34,c63
b10,c0
b54,c16
b32,c31
b50,c27
b58,c25
b56,c9
b41,c48
b64,c27
b40,c1
b5,c8
b59,c22
b16,c5
b63,c63
b57,c12
b59,c19
b43,c5
b32,c28
b8,c7
b24,c40
b34,c0
b62,c54
b64,c66
b48,c39
b65,c62
b19,c21
b30,c68
b53,c36
b23,c0
b45,c46
b6,c59
b13,c33
b37,c17
b7,c31
b32,c34
b20,c63
b26,c40
b55,c16
b42,c38
b18,c51
b3,c45
b5,c9
b67,c6
b62,c35
b39,c54
b40,c6
b30,c8
b67,c1
b13,c22
b17,c12
b64,c53
b9,c70
b22,c22
b52,c39
b11,c24
b32,c50
b54,c43
b53,c24
b44,c53
b26,c68
b30,c0
b6,c70
b33,c27
b26,c46
