a,b
a29,b63
a8,b99
a52,b34
a69,b37
a68,b37
a47,b2
a58,b86
a5,b42
a34,b79
a6,b0
a37,b97
a38,b20
a14,b30
a3,b61
a76,b2
a93,b3
a56,b68
a67,b20
a3,b53
a12,b51
a71,b83
a63,b12
a44,b49
a96,b34
a64,b49
a89,b92
a18,b86
a38,b59
a6,b96
a78,b68
a76,b71
a6,b76
a48,b0
a72,b34
a18,b96
a14,b94
a81,b39
a55,b0
a93,b48
a88,b99
a10,b52
a90,b59
a93,b7
a75,b89
a67,b9
a4,b56
a61,b31
a43,b21
a48,b59
a16,b34
a70,b86
a64,b14
a49,b52
a65,b60
a39,b2
a29,b90
a31,b25
a58,b82
a61,b77
a84,b37
a39,b83
a2,b16
a93,b5
a84,b30
a12,b31
a33,b70
a13,b56
a35,b91
a74,b60
a44,b98
a65,b97
a34,b67
a77,b84
a94,b81
a32,b27
a95,b14
a4,b89
a52,b83
a42,b72
a87,b9
a93,b95
a50,b7
a65,b93
a96,b62
a87,b57
a86,b25
a85,b40
a88,b55
a47,b7
a97,b48
a51,b59
a57,b56
a87,b70
a91,b13
a20,b0
a50,b31
a29,b17
a28,b53
a88,b75
a17,b86
a90,b77
a22,b93
a39,b78
a22,b45
a10,b43
a81,b9
a44,b84
a6,b87
a70,b6
a85,b59
a9,b59
a58,b99
a1,b76
a78,b77
a81,b21
a78,b46
a0,b82
a41,b79
a62,b62
a75,b25
a4,b98
a76,b26
a59,b81
a50,b90
a1,b70
a41,b44
a7,b72
a50,b40
a35,b8
a88,b12
a73,b39
a95,b15
a11,b76
a65,b54
a45,b5
a43,b79
a87,b25
a73,b67
a38,b28
a41,b1
a67,b38
a53,b88
a37,b43
a62,b67
a78,b34
a89,b68
a36,b99
a98,b89
a76,b17
a39,b94
a48,b7
a44,b16
a31,b95
a12,b68
a13,b79
a56,b77
a59,b17
a49,b40
a7,b56
a94,b85
a12,b27
a21,b38
a58,b77
a54,b40
a85,b71
a91,b32
a45,b11
a76,b74
a12,b65
a88,b16
a28,b91
a92,b67
a74,b0
a16,b7
a98,b93
a63,b57
a63,b3
a57,b89
a83,b67
a0,b59
a86,b14
a42,b92
a22,b89
a92,b98
a74,b16
a52,b65
a67,b35
a36,b88
a37,b44
a10,b98
a50,b46
a26,b24
a0,b12
a11,b96
a99,b75
a60,b20
a6,b90
a79,b49
a74,b53
a70,b40
a39,b24
a68,b55
a13,b59
a3,b45
a77,b79
a65,b6
a31,b89
a41,b87
a19,b64
a63,b6
a47,b27
a8,b21
a37,b87
a26,b55
a30,b78
a84,b28
a12,b45
a68,b38
a7,b16
a56,b12
a56,b15
a31,b73
a50,b33
a0,b69
a68,b30
a18,b88
a62,b28
a25,b15
a61,b36
a88,b44
a67,b15
a59,b92
a49,b30
a71,b26
a0,b31
a16,b60
a10,b44
a77,b60
a53,b14
a82,b1
a17,b36
a17,b3
a76,b32
a82,b76
a17,b74
a38,b57
a18,b51
a62,b66
a40,b44
a25,b7
a58,b60
a37,b35
a55,b98
a37,b96
a24,b98
a34,b38
a78,b70
a79,b18
a71,b72
a68,b8
a46,b59
a10,b96
a53,b61
a10,b48
a56,b7
a15,b72
a58,b92
a8,b17
a15,b65
a54,b13
a9,b78
a9,b56
a70,b87
a20,b35
a78,b74
a80,b69
a6,b2
a25,b44
a55,b12
a75,b8
a33,b20
a5,b27
a71,b44
a26,b60
a26,b27
a2,b52
a3,b11
a51,b19
a44,b73
a43,b31
a23,b78
a93,b77
a71,b37
a25,b33
a95,b86
a27,b70
a44,b21
a71,b74
a3,b32
a14,b98
a5,b74
a30,b8
a12,b24
a99,b86
a59,b34
a24,b46
a92,b22
a77,b74
a78,b41
a12,b48
a36,b31
a82,b50
a21,b92
a28,b85
a3,b31
a55,b17
a70,b37
a66,b77
a70,b4
a86,b21
a71,b70
a76,b30
a37,b15
a73,b56
a39,b13
a73,b50
a66,b58
a60,b22
a78,b10
a88,b29
a87,b35
a25,b0
a24,b84
a10,b22
a67,b91
a22,b74
a82,b87
a76,b79
a61,b60
a78,b18
a88,b67
a27,b35
a93,b12
a70,b96
a98,b26
a36,b39
a47,b97
a55,b63
a94,b92
a70,b23
a64,b63
a79,b20
a49,b56
a11,b15
a2,b40
a75,b96
a91,b78
a29,b98
a55,b94
a62,b77
a81,b86
a70,b46
a34,b11
a86,b70
a90,b6
a93,b61
a95,b21
a50,b65
a79,b45
a38,b21
a3,b19
a23,b21
a72,b66
a28,b37
a57,b0
a70,b25
a57,b9
a81,b58
a20,b45
a47,b56
a36,b14
a78,b69
a76,b54
a41,b24
a34,b43
a70,b65
a75,b5
a82,b30
a62,b44
a20,b56
a29,b26
a56,b29
a54,b44
a76,b34
a59,b79
a81,b60
a81,b22
a90,b42
a46,b32
a33,b48
a56,b50
a51,b54
a66,b70
a55,b71
a29,b19
a95,b24
a11,b45
a15,b1
a67,b6
a35,b3
a22,b63
a2,b21
a87,b6
a60,b62
a78,b82
a93,b30
a4,b86
a46,b61
a92,b14
a53,b54
a61,b28
a25,b20
a62,b34
a29,b75
a7,b11
a78,b30
a42,b64
a50,b88
a13,b29
a1,b88
a75,b33
a96,b4
a42,b30
a61,b58
a25,b65
a80,b22
a32,b10
a95,b82
a13,b4
a14,b10
a5,b69
a3,b25
a33,b98
a41,b18
a59,b86
a70,b79
a29,b56
a91,b68
a96,b55
a2,b99
a13,b16
a10,b64
a28,b23
a32,b36
a86,b57
a1,b63
a51,b33
a84,b98
a41,b88
a52,b40
a8,b67
a45,b50
a28,b98
a45,b0
a61,b38
a58,b93
a31,b40
a54,b66
a47,b70
a77,b32
a96,b38
a54,b76
a61,b10
a94,b45
a19,b73
a80,b15
a50,b28
a3,b17
a47,b93
a1,b97
a93,b63
a84,b21
a5,b70
a98,b59
a8,b57
a29,b2
a99,b64
a2,b72
a77,b23
a23,b28
a24,b36
a67,b76
a63,b58
a53,b81
a74,b82
a61,b52
a46,b25
a88,b70
a74,b13
a8,b84
a81,b78
a19,b70
a55,b77
a45,b54
a30,b22
a38,b89
a0,b17
a40,b64
a57,b8
a54,b73
a80,b96
a2,b98
a70,b92
a74,b52
a57,b86
a57,b66
a83,b36
a34,b53
a29,b71
a66,b54
a1,b35
a83,b60
a2,b83
a19,b8
a38,b44
a82,b86
a66,b79
a22,b64
a12,b96
a48,b28
a63,b42
a94,b37
a84,b85
a18,b57
a7,b74
a77,b75
a75,b53
a61,b48
a23,b66
a37,b95
a86,b63
a5,b43
a59,b29
a26,b97
a66,b80
a70,b34
a32,b74
a60,b30
a45,b70
a19,b95
a15,b49
a3,b81
a67,b58
a94,b89
a77,b47
a84,b41
a36,b87
a44,b95
a90,b31
a25,b55
a87,b51
a19,b38
a49,b47
a48,b31
a46,b31
a51,b84
a11,b37
a45,b33
a91,b22
a54,b26
a63,b34
a52,b21
a8,b3
a46,b72
a79,b46
a0,b96
a54,b1
a62,b92
a10,b18
a30,b87
a95,b57
a31,b34
a42,b44
a41,b31
a84,b10
a42,b81
a92,b99
a63,b88
a91,b86
a11,b79
a22,b48
a38,b29
a23,b53
a36,b89
a14,b47
a3,b86
a67,b96
a97,b20
a93,b62
a62,b20
a38,b55
a65,b64
a88,b66
a36,b3
a88,b4
a49,b24
a55,b67
a69,b19
a91,b9
a58,b33
a55,b69
a17,b93
a34,b76
a13,b21
a82,b58
a56,b86
a97,b49
a61,b41
a36,b30
a40,b66
a96,b37
a43,b50
a59,b0
a89,b4
a49,b38
a69,b6
a69,b87
a13,b73
a55,b78
a80,b52
a12,b83
a43,b57
a83,b86
a26,b62
a62,b54
a29,b67
a7,b90
a31,b94
a91,b79
a98,b78
a42,b93
a65,b98
a49,b48
a3,b88
a34,b71
a19,b10
a88,b58
a10,b84
a5,b78
a62,b36
a52,b22
a40,b25
a63,b66
a4,b78
a90,b49
a60,b13
a22,b58
a26,b21
a58,b34
a63,b23
a21,b40
a5,b82
a54,b58
a89,b94
a39,b8
a36,b93
a10,b95
a87,b76
a7,b14
a23,b95
a4,b87
a81,b96
a9,b46
a93,b93
a80,b4
a48,b52
a15,b87
a80,b89
a29,b33
a49,b89
a26,b49
a96,b61
a1,b22
a56,b34
a20,b9
a58,b10
a32,b15
a72,b10
a73,b94
a72,b97
a57,b64
a59,b52
a57,b22
a81,b42
a75,b56
a3,b38
a76,b59
a79,b84
a71,b92
a67,b97
a28,b21
a85,b90
a94,b36
a85,b96
a17,b8
a82,b35
a38,b61
a3,b82
a77,b78
a77,b69
a69,b9
a62,b71
a56,b66
a11,b38
a16,b28
a71,b19
a73,b61
a33,b46
a61,b74
a86,b35
a55,b33
a47,b95
a26,b76
a48,b80
a97,b38
a0,b34
a45,b80
a17,b16
a49,b97
a67,b68
a62,b43
a47,b41
a6,b31
a14,b48
a41,b38
a73,b1
a55,b39
a48,b71
a99,b27
a38,b60
a43,b12
a10,b80
a10,b94
a21,b80
a37,b99
a15,b64
a9,b27
a81,b61
a76,b18
a74,b10
a51,b36
a6,b51
a97,b14
a15,b9
a53,b28
a73,b74
a27,b51
a18,b44
a17,b71
a89,b47
a61,b95
a54,b80
a45,b7
a75,b79
a56,b25
a49,b58
a18,b1
a93,b65
a40,b17
a74,b27
a99,b39
a6,b61
a76,b57
a18,b22
a51,b37
a12,b82
a55,b28
a89,b52
a58,b23
a61,b22
a69,b32
a81,b80
a18,b73
a28,b0
a27,b39
a71,b78
a64,b80
a34,b70
a29,b51
a10,b32
a7,b36
a11,b82
a75,b0
a54,b49
a54,b46
a98,b8
a31,b61
a2,b0
a57,b78
a61,b40
a29,b93
a59,b25
a45,b96
a43,b99
a18,b94
a16,b44
a22,b53
a54,b14
a37,b91
a61,b63
a88,b60
a94,b1
a76,b84
a68,b46
a30,b24
a7,b64
a46,b81
a63,b0
a22,b79
a14,b88
a11,b69
a78,b56
a20,b64
a80,b64
a33,b88
a85,b60
a4,b29
a99,b28
a76,b62
a20,b92
a28,b75
a84,b80
a11,b8
a7,b37
a16,b78
a39,b19
a22,b66
a12,b80
a35,b66
a92,b97
a35,b38
a36,b33
a47,b19
a4,b34
a46,b10
a68,b84
a11,b3
a95,b68
a99,b77
a18,b62
a64,b7
a64,b10
a69,b24
a58,b4
a68,b6
a76,b25
a10,b74
a41,b92
a88,b11
a11,b7
a40,b23
a73,b21
a74,b9
a1,b82
a8,b81
a77,b16
a65,b78
a89,b46
a24,b96
a76,b78
a19,b86
a10,b71
a28,b1
a82,b0
a53,b73
a16,b14
a66,b60
a79,b51
a16,b9
a67,b67
a36,b57
a67,b69
a51,b42
a97,b44
a64,b26
a30,b94
a47,b5
a27,b3
a24,b44
a82,b56
a78,b28
a60,b27
a52,b57
a92,b32
a10,b92
a32,b13
a37,b3
a43,b3
a86,b23
a97,b19
a87,b1
a17,b4
a24,b0
a65,b48
a22,b9
a2,b7
a3,b43
a41,b0
a78,b16
a1,b72
a26,b52
a40,b7
a22,b77
a42,b14
a12,b16
a94,b98
a96,b29
a14,b62
a35,b22
a80,b67
a30,b5
a1,b78
a11,b4
a26,b84
a87,b94
a85,b2
a87,b38
a40,b98
a95,b69
a11,b67
a90,b0
a50,b78
a44,b93
a81,b0
a92,b54
a61,b16
a7,b33
a97,b98
a37,b12
a52,b54
a74,b79
a16,b64
a52,b56
a32,b88
a96,b67
a10,b33
a69,b22
a45,b75
a61,b85
a45,b63
a57,b92
a49,b88
a40,b47
a46,b28
a17,b90
a39,b27
a19,b2
a91,b98
a42,b73
a56,b11
a15,b92
a55,b90
a96,b40
a63,b24
a17,b52
a82,b63
a74,b73
a27,b41
a93,b51
a94,b11
a92,b52
a96,b13
a10,b5
a68,b26
a16,b55
a78,b63
a31,b52
a33,b74
a29,b58
a40,b42
a91,b37
a64,b97
a12,b35
a71,b6
a86,b93
a31,b45
a92,b79
a67,b13
a29,b40
a48,b78
a95,b59
a34,b26
a29,b13
a12,b9
a79,b88
a59,b98
a37,b75
a78,b93
a76,b82
a44,b80
a42,b8
a29,b76
a80,b83
a46,b80
a33,b83
a0,b10
a26,b67
a12,b21
a47,b20
a83,b87
a23,b45
a18,b37
a30,b93
a46,b76
a83,b2
a3,b89
a46,b4
a66,b48
a35,b71
a91,b75
a61,b68
a79,b47
a49,b32
a35,b37
a29,b88
a42,b11
a63,b14
a25,b94
a51,b26
a98,b65
a66,b4
a14,b58
a27,b68
a15,b0
a28,b82
a97,b17
a1,b95
a83,b50
a99,b66
a40,b10
a93,b71
a54,b96
a73,b4
a3,b28
a37,b61
a60,b53
a96,b28
a97,b89
a0,b56
a38,b26
a27,b80
a84,b16
a83,b5
a88,b14
a36,b51
a67,b60
a94,b66
a90,b86
a90,b95
a31,b24
a23,b96
a45,b21
a92,b19
a84,b47
a61,b27
a2,b15
a54,b89
a68,b70
a54,b11
a52,b29
a79,b78
a4,b7
a92,b86
a7,b41
a51,b75
a83,b52
a43,b4
a59,b20
a8,b29
a3,b20
a2,b44
a2,b60
a48,b14
a49,b79
a15,b28
a30,b89
a94,b73
a45,b52
a98,b55
a84,b82
a8,b12
a60,b79
a54,b85
a71,b59
a88,b40
a51,b66
a60,b7
a24,b56
a17,b1
a34,b25
a49,b77
a20,b95
a94,b72
a87,b80
a74,b99
a26,b47
a72,b62
a33,b57
a37,b30
a21,b64
a37,b16
a58,b47
a3,b57
a98,b61
a51,b43
a68,b11
a21,b43
a87,b81
a66,b52
a64,b86
a0,b6
a68,b32
a59,b94
a97,b68
a82,b94
a75,b93
a58,b25
a90,b48
a52,b74
a0,b33
a0,b68
a36,b59
a63,b41
a70,b73
a16,b82
a75,b59
a96,b56
a81,b34
a43,b9
a53,b68
a91,b3
a78,b50
a86,b37
a21,b9
a56,b41
a40,b70
a24,b69
a40,b75
a73,b53
a96,b22
a63,b46
a71,b95
a32,b53
a52,b88
a64,b68
a39,b32
a61,b56
a91,b99
a85,b12
a65,b92
a35,b53
a82,b12
a21,b70
a58,b72
a97,b47
a82,b68
a97,b22
a50,b50
a54,b83
a78,b5
a82,b66
a28,b89
a44,b37
a22,b10
a77,b68
a33,b68
a65,b22
a78,b60
a99,b92
a73,b64
a60,b38
a10,b9
a57,b6
a87,b10
a19,b44
a32,b81
a20,b43
a59,b16
a86,b56
a34,b74
a5,b31
a89,b73
a68,b31
a41,b29
a56,b81
a97,b3
a28,b4
a22,b46
a93,b67
a39,b1
a60,b60
a6,b23
a44,b66
a15,b73
a94,b15
a57,b13
a27,b82
a15,b48
a38,b53
a70,b7
a8,b55
a26,b16
a34,b47
a63,b38
a48,b8
a65,b49
a89,b25
a4,b63
a97,b35
a52,b16
a90,b88
a66,b92
a14,b46
a57,b1
a30,b30
a99,b69
a54,b70
a13,b55
a95,b97
a94,b35
a42,b25
a59,b30
a54,b34
a64,b15
a95,b33
a41,b37
a96,b0
a4,b60
a75,b17
a77,b13
a7,b30
a47,b94
a11,b29
a83,b39
a71,b84
a80,b62
a88,b92
a73,b86
a27,b60
a72,b35
a42,b35
a39,b96
a85,b82
a23,b17
a77,b90
a1,b8
a17,b2
a36,b64
a32,b72
a98,b62
a76,b92
a95,b95
a59,b43
a65,b38
a99,b83
a9,b20
a0,b76
a55,b36
a15,b43
a33,b55
a43,b55
a62,b58
a97,b9
a86,b3
a84,b49
a12,b75
a70,b97
a92,b4
a29,b7
a23,b88
a82,b99
a46,b65
a65,b15
a83,b28
a9,b32
a10,b72
a28,b9
a83,b68
a74,b67
a78,b99
a77,b54
a66,b98
a84,b9
a23,b94
a96,b91
a13,b97
a93,b96
a83,b55
a27,b24
a62,b1
a50,b1
a95,b72
a7,b91
a12,b0
a33,b25
a83,b15
a97,b16
a91,b31
a87,b93
a43,b52
a25,b46
a22,b57
a69,b4
a15,b21
a14,b43
a32,b17
a87,b99
a16,b40
a60,b64
a60,b59
a19,b17
a77,b48
a95,b73
a94,b96
a51,b70
a38,b83
a37,b54
a48,b34
a77,b27
a52,b2
a54,b48
a12,b87
a7,b45
a19,b78
a46,b45
a95,b2
a86,b16
a86,b65
a12,b32
a48,b43
a66,b35
a52,b93
a54,b33
a64,b44
a53,b92
a48,b21
a78,b92
a90,b39
a60,b52
a95,b5
a85,b16
a54,b52
a64,b89
a26,b64
a41,b61
a41,b15
a1,b66
a75,b21
a59,b13
a41,b74
a44,b46
a73,b89
a84,b36
a90,b19
a53,b99
a3,b91
a87,b19
a56,b20
a22,b18
a28,b64
a70,b88
a59,b31
a74,b34
a7,b3
a46,b57
a36,b48
a24,b5
a48,b29
a92,b87
a30,b14
a49,b21
a45,b79
a4,b84
a83,b32
a15,b33
a55,b6
a94,b39
a7,b21
a31,b27
a41,b94
a26,b96
a74,b17
a40,b89
a59,b14
a85,b94
a20,b54
a46,b24
a20,b81
a82,b98
a36,b92
a42,b67
a84,b94
a96,b69
a60,b72
a76,b40
a66,b71
a65,b70
a45,b23
a96,b90
a24,b67
a68,b51
a92,b73
a10,b10
a42,b41
a38,b42
a50,b11
a34,b46
a76,b52
a19,b16
a5,b86
a70,b47
a29,b55
a57,b80
a46,b43
a22,b95
a29,b31
a96,b21
a66,b88
a71,b9
a57,b2
a86,b20
a5,b18
a89,b6
a49,b22
a48,b38
a78,b47
a90,b27
a32,b64
a28,b7
a4,b8
a16,b13
a22,b38
a37,b90
a19,b24
a59,b46
a32,b61
a9,b19
a23,b79
a64,b75
a5,b94
a62,b72
a65,b81
a97,b63
a81,b25
a50,b81
a83,b70
a24,b21
a11,b55
a69,b2
a95,b39
a17,b28
a34,b80
a80,b24
a9,b34
a73,b42
a71,b45
a91,b67
a85,b46
a21,b19
a19,b88
a52,b14
a50,b74
a25,b84
a4,b77
a33,b54
a79,b92
a19,b3
a22,b4
a18,b38
a94,b83
a49,b70
a16,b19
a95,b80
a51,b35
a47,b8
a51,b52
a68,b25
a45,b13
a80,b27
a3,b22
a0,b67
a24,b72
a13,b96
a87,b55
a81,b99
a8,b49
a67,b32
a34,b86
a92,b25
a13,b10
a26,b26
a5,b51
a5,b26
a40,b87
a71,b12
a63,b97
a11,b71
a90,b57
a86,b22
a59,b78
a92,b34
a63,b98
a85,b72
a51,b31
a16,b5
a39,b23
a67,b0
a34,b21
a45,b53
a48,b20
a62,b55
a9,b84
a67,b72
a2,b89
a34,b35
a9,b88
a22,b35
a90,b29
a88,b89
a6,b65
a48,b55
a55,b3
a75,b26
a26,b14
a11,b43
a70,b21
a53,b31
a40,b29
a12,b56
a42,b18
a40,b56
a67,b34
a34,b9
a95,b70
a31,b8
a97,b0
a2,b23
a36,b67
a41,b60
a22,b30
a34,b57
a90,b89
a2,b55
a14,b85
a84,b86
a82,b40
a70,b85
a7,b79
a41,b99
a92,b1
a21,b91
a96,b46
a90,b1
a56,b30
a26,b2
a20,b8
a44,b10
a18,b20
a14,b59
a3,b64
a5,b41
a80,b58
a99,b30
a45,b85
a19,b97
a43,b49
a26,b59
a45,b44
a89,b26
a21,b62
a34,b56
a93,b75
a54,b6
a79,b89
a60,b34
a90,b66
a83,b74
a47,b29
a77,b34
a52,b95
a42,b0
a51,b32
a83,b57
a92,b49
a82,b22
a52,b12
a26,b50
a71,b76
a58,b62
a70,b20
a17,b33
a16,b58
a60,b19
a61,b35
a92,b33
a14,b20
a8,b94
a14,b16
a1,b49
a35,b36
a51,b62
a43,b58
a8,b37
a53,b13
a63,b16
a82,b54
a45,b25
a93,b78
a63,b63
a57,b5
a86,b72
a61,b17
a93,b8
a62,b31
a33,b16
a45,b1
a67,b65
a14,b14
a61,b47
a77,b56
a38,b37
a16,b48
a23,b7
a95,b13
a11,b23
a44,b22
a56,b13
a68,b54
a10,b47
a60,b40
a30,b85
a85,b0
a99,b88
a49,b93
a43,b28
a79,b6
a25,b30
a24,b40
a27,b40
a68,b34
a44,b39
a39,b72
a5,b47
a90,b63
a97,b99
a36,b53
a8,b1
a65,b40
a76,b68
a16,b69
a57,b28
a66,b18
a44,b30
a46,b38
a34,b83
a71,b30
a40,b38
a25,b53
a16,b70
a0,b29
a67,b27
a83,b95
a15,b99
a32,b70
a16,b41
a19,b0
a42,b9
a64,b21
a95,b12
a41,b25
a44,b60
a52,b90
a25,b35
a41,b91
a74,b84
a56,b39
a98,b63
a6,b85
a71,b22
a81,b49
a2,b2
a24,b83
a44,b42
a49,b49
a72,b32
a49,b3
a46,b54
a53,b39
a52,b9
a66,b36
a49,b55
a58,b2
a98,b57
a88,b76
a90,b5
a34,b36
a85,b85
a53,b43
a87,b84
a93,b31
a11,b93
a92,b92
a55,b81
a76,b42
a43,b24
a58,b69
a39,b65
a44,b90
a84,b2
a65,b90
a83,b31
a89,b0
a6,b15
a9,b60
a30,b56
a16,b49
a46,b62
a62,b33
a53,b16
a67,b73
a90,b15
a74,b1
a92,b21
a99,b51
a42,b61
a22,b13
a89,b85
a16,b83
a77,b81
a56,b6
a71,b7
a82,b85
a26,b98
a99,b21
a42,b40
a85,b65
a66,b15
a5,b25
a81,b67
a34,b37
a27,b13
a89,b1
a58,b43
a24,b88
a37,b8
a34,b7
a9,b62
a36,b62
a82,b37
a19,b21
a28,b63
a36,b74
a48,b85
a90,b71
a53,b70
a77,b94
a75,b34
a90,b93
a70,b67
a5,b7
a95,b4
a80,b60
a76,b98
a98,b56
a94,b58
a4,b71
a70,b15
a27,b50
a32,b2
a87,b3
a88,b28
a26,b34
a36,b13
a86,b68
a82,b91
a81,b76
a71,b3
a38,b74
a89,b49
a20,b34
a3,b6
a8,b11
a21,b22
a61,b8
a51,b47
a52,b99
a89,b80
a9,b44
a54,b23
a16,b92
a28,b72
a84,b60
a79,b53
a81,b11
a73,b6
a79,b41
a35,b75
a32,b12
a86,b26
a93,b72
a14,b49
a59,b91
a23,b1
a21,b74
a17,b68
a94,b3
a88,b80
a9,b54
a96,b11
a56,b89
a38,b96
a69,b79
a63,b76
a48,b97
a13,b82
a6,b25
a15,b14
a64,b93
a96,b17
a1,b23
a76,b35
a49,b95
a81,b43
a88,b98
a65,b46
a66,b62
a14,b44
a98,b14
a49,b63
a74,b85
a22,b69
a49,b19
a32,b76
a69,b51
a71,b69
a41,b30
a95,b10
a86,b61
a2,b36
a7,b81
a59,b61
a54,b72
a59,b44
a69,b3
a72,b70
a77,b18
a26,b44
a58,b14
a34,b12
a52,b33
a10,b31
a33,b24
a47,b92
a99,b24
a15,b59
a48,b96
a11,b31
a69,b8
a20,b96
a17,b69
a61,b2
a28,b14
a57,b12
a24,b28
a96,b78
a93,b34
a58,b6
a41,b81
a47,b69
a97,b37
a72,b40
a97,b65
a54,b51
a24,b3
a7,b24
a69,b60
a84,b39
a87,b87
a92,b72
a69,b7
a35,b0
a90,b64
a25,b96
a97,b6
a79,b75
a4,b21
a70,b74
a83,b83
a38,b87
a37,b85
a30,b16
a90,b43
a54,b56
a87,b77
a76,b77
a27,b36
a13,b34
a96,b93
a7,b95
a3,b26
a94,b7
a78,b22
a96,b2
a53,b55
a87,b16
a10,b81
a17,b54
a84,b76
a69,b94
a35,b28
a73,b27
a18,b65
a29,b66
a81,b50
a95,b36
a9,b30
a5,b99
a45,b42
a32,b46
a95,b94
a29,b12
a98,b40
a5,b59
a43,b74
a62,b60
a98,b45
a18,b14
a19,b33
a36,b58
a88,b10
a21,b29
a48,b61
a19,b62
a65,b85
a1,b75
a46,b42
a19,b72
a85,b75
a15,b76
a17,b70
a20,b57
a3,b42
a82,b51
a11,b2
a5,b67
a60,b31
a27,b27
a69,b55
a27,b47
a48,b47
a80,b0
a98,b50
a63,b17
a55,b1
a75,b38
a19,b90
a79,b80
a55,b57
a23,b5
a75,b35
a70,b99
a20,b55
a35,b86
a16,b32
a45,b47
a34,b65
a29,b34
a61,b62
a37,b4
a48,b32
a0,b64
a45,b65
a37,b76
a2,b43
a85,b69
a99,b32
a34,b15
a85,b81
a68,b7
a17,b6
a84,b68
a70,b41
a61,b1
a8,b80
a44,b99
a16,b27
a49,b83
a57,b94
a54,b30
a66,b75
a71,b57
a76,b48
a33,b30
a17,b32
a21,b16
a10,b23
a80,b26
a56,b64
a94,b41
a96,b47
a97,b60
a4,b88
a19,b34
a52,b55
a34,b8
a32,b20
a15,b27
a81,b38
a42,b88
a38,b95
a46,b69
a45,b16
a98,b58
a31,b0
a41,b16
a43,b34
a98,b22
a98,b69
a25,b21
a0,b18
a5,b96
a24,b4
a25,b43
a18,b2
a16,b16
a1,b15
a92,b96
a50,b24
a70,b76
a7,b19
a38,b16
a4,b45
a81,b45
a60,b55
a70,b54
a52,b11
a35,b79
a74,b75
a38,b64
a94,b50
a32,b84
a90,b26
a24,b50
a73,b72
a33,b89
a93,b41
a99,b20
a43,b70
a78,b72
a46,b97
a44,b18
a51,b27
a66,b40
a26,b30
a26,b57
a92,b29
a37,b21
a64,b47
a95,b18
a18,b46
a12,b60
a49,b68
a96,b44
a77,b38
a46,b87
a64,b35
a22,b99
a74,b2
a56,b60
a24,b57
a39,b82
a40,b18
a44,b12
a54,b67
a19,b98
a60,b26
a58,b17
a46,b19
a82,b60
a90,b23
a94,b42
a91,b73
a97,b90
a27,b15
a83,b16
a95,b26
a70,b16
a82,b39
a31,b71
a77,b40
a72,b71
a73,b70
a19,b35
a4,b64
a80,b25
a42,b26
a88,b21
a61,b21
a22,b20
a43,b44
a17,b63
a37,b81
a5,b54
a15,b63
a55,b66
a90,b58
a97,b87
a54,b53
a83,b61
a95,b90
a56,b87
a29,b65
a43,b51
a11,b85
a40,b97
a9,b29
a88,b7
a95,b87
a49,b75
a75,b70
a32,b57
a29,b42
a34,b22
a58,b74
a20,b26
a99,b71
a20,b69
a48,b46
a41,b14
a55,b21
a53,b62
a15,b47
a24,b35
a60,b42
a75,b11
a55,b83
a17,b72
a91,b36
a93,b80
a84,b57
a26,b7
a85,b30
a24,b11
a80,b13
a28,b67
a3,b39
a96,b15
a98,b19
a0,b79
a74,b61
a79,b69
a35,b26
a56,b65
a18,b98
a84,b99
a86,b46
a55,b13
a80,b6
a49,b62
a58,b91
a46,b16
a79,b76
a97,b83
a76,b11
a35,b90
a70,b33
a92,b75
a25,b92
a14,b96
a84,b73
a10,b46
a20,b22
a18,b18
a26,b13
a72,b50
a46,b73
a81,b23
a91,b95
a93,b35
a28,b3
a71,b52
a75,b68
a49,b78
a96,b97
a79,b60
a64,b67
a32,b92
a10,b53
a43,b73
a26,b20
a47,b13
a57,b39
a47,b17
a36,b97
a90,b84
a19,b81
a73,b31
a27,b87
a62,b89
a20,b78
a94,b97
a58,b73
a99,b93
a29,b78
a6,b4
a85,b36
a31,b96
a85,b31
a51,b94
a34,b14
a2,b17
a46,b85
a37,b83
a79,b21
a52,b36
a75,b6
a93,b83
a17,b94
a61,b96
a71,b58
a79,b93
a85,b61
a0,b62
a3,b54
a66,b25
a97,b73
a43,b98
a57,b16
a14,b61
a44,b35
a61,b65
a86,b45
a77,b80
a35,b4
a83,b46
a30,b43
a90,b55
a86,b33
a96,b80
a56,b58
a75,b46
a57,b72
a26,b18
a56,b44
a0,b24
a56,b73
a23,b52
a21,b52
a46,b49
a88,b63
a16,b31
a82,b61
a77,b26
a24,b63
a19,b48
a63,b64
a81,b10
a54,b29
a30,b51
a49,b17
a47,b57
a62,b86
a27,b43
a8,b96
a50,b85
a51,b95
a54,b77
a49,b44
a76,b94
a26,b71
a34,b87
a98,b30
a18,b95
a74,b83
a13,b81
a45,b15
a52,b80
a65,b11
a14,b67
a89,b76
a61,b0
a41,b82
a58,b59
a39,b16
a34,b28
a23,b72
a86,b91
a76,b21
a0,b43
a15,b45
a44,b96
a11,b70
a37,b33
a80,b18
a97,b36
a66,b37
a68,b53
a6,b55
a77,b39
a78,b14
a15,b31
a99,b53
a39,b30
a79,b35
a79,b74
a73,b9
a59,b72
a63,b35
a15,b84
a48,b98
a81,b6
a2,b39
a96,b83
a91,b56
a6,b43
a18,b39
a96,b98
a65,b58
a51,b29
a43,b66
a97,b28
a61,b99
