b,c
b34,c90
b48,c5
b15,c78
b4,c12
b82,c55
b85,c4
b30,c3
b16,c23
b80,c48
b72,c77
b84,c93
b74,c9
b38,c28
b70,c57
b56,c31
b95,c79
b7,c49
b39,c73
b2,c38
b89,c83
b70,c9
b38,c52
b85,c9
b49,c72
b18,c11
b21,c3
b64,c8
b25,c75
b37,c62
b59,c82
b95,c80
b7,c78
b67,c91
b90,c84
b25,c37
b17,c6
b50,c77
b54,c42
b8,c32
b62,c76
b47,c88
b83,c26
b28,c32
b15,c57
b90,c76
b42,c95
b87,c12
b24,c94
b81,c88
b25,c46
b37,c52
b47,c57
b87,c69
b58,c22
b73,c42
b98,c96
b21,c55
b12,c60
b87,c72
b24,c79
b16,c41
b80,c75
b70,c15
b88,c16
b66,c78
b0,c70
b28,c17
b8,c34
b85,c49
b92,c12
b74,c99
b65,c76
b64,c13
b75,c91
b83,c63
b76,c32
b15,c15
b83,c35
b18,c65
b67,c45
b43,c10
b18,c49
b94,c53
b29,c41
b83,c46
b15,c95
b9,c8
b15,c72
b25,c43
b82,c76
b24,c78
b77,c17
b45,c62
b45,c5
b28,c5
b69,c61
b14,c34
b89,c17
b84,c29
b92,c37
b30,c10
b55,c24
b98,c70
b12,c66
b62,c22
b76,c47
b16,c82
b46,c79
b74,c31
b63,c18
b5,c23
b93,c31
b49,c98
b20,c70
b82,c57
b48,c56
b40,c2
b22,c21
b83,c76
b66,c81
b12,c36
b45,c86
b88,c19
b81,c6
b71,c96
b64,c1
b30,c21
b26,c84
b26,c10
b0,c25
b69,c28
b45,c36
b84,c15
b97,c47
b24,c82
b60,c14
b79,c10
b65,c87
b85,c60
b12,c75
b23,c31
b37,c90
b25,c65
b88,c37
b10,c29
b87,c23
b45,c70
b15,c3
b94,c29
b75,c33
b77,c6
b62,c46
b53,c36
b22,c56
b83,c95
b93,c26
b75,c72
b19,c35
b52,c93
b98,c69
b36,c64
b78,c92
b68,c93
b68,c78
b81,c86
b49,c96
b54,c31
b68,c64
b14,c50
b69,c2
b79,c37
b75,c18
b10,c13
b15,c61
b97,c21
b28,c46
b96,c76
b16,c18
b52,c63
b36,c15
b19,c68
b6,c71
b94,c46
b58,c66
b3,c65
b42,c7
b15,c8
b73,c81
b27,c44
b44,c32
b3,c69
b55,c40
b73,c11
b85,c8
b45,c98
b89,c1
b82,c11
b9,c18
b77,c99
b14,c31
b20,c38
b72,c8
b76,c73
b22,c85
b38,c25
b30,c65
b66,c79
b4,c10
b3,c32
b86,c46
b11,c75
b41,c4
b81,c47
b65,c61
b89,c79
b78,c30
b21,c29
b36,c58
b64,c6
b67,c43
b61,c35
b93,c66
b37,c9
b35,c31
b31,c39
b27,c11
b84,c81
b36,c66
b63,c51
b95,c71
b68,c46
b98,c63
b43,c45
b45,c72
b72,c39
b64,c68
b87,c86
b23,c37
b89,c64
b99,c3
b57,c85
b17,c26
b14,c51
b93,c15
b18,c44
b48,c2
b52,c74
b60,c68
b20,c93
b81,c52
b4,c91
b95,c37
b53,c56
b35,c67
b76,c10
b44,c48
b88,c29
b53,c44
b56,c38
b51,c38
b94,c57
b82,c5
b41,c24
b68,c86
b61,c61
b36,c24
b74,c80
b29,c43
b38,c41
b29,c35
b97,c85
b78,c75
b85,c1
b42,c89
b5,c21
b22,c78
b13,c50
b38,c76
b39,c1
b98,c37
b80,c16
b57,c21
b62,c39
b34,c61
b43,c48
b32,c98
b50,c4
b70,c67
b40,c48
b28,c82
b74,c86
b77,c23
b99,c89
b70,c97
b90,c67
b8,c94
b58,c4
b92,c56
b51,c34
b89,c2
b67,c48
b75,c86
b59,c41
b54,c32
b7,c18
b12,c40
b25,c57
b30,c83
b6,c23
b1,c67
b52,c33
b39,c48
b29,c70
b61,c8
b23,c13
b22,c77
b56,c19
b26,c83
b71,c13
b53,c48
b46,c92
b26,c37
b32,c2
b53,c54
b2,c45
b64,c42
b16,c28
b73,c47
b26,c28
b29,c50
b50,c17
b96,c85
b87,c94
b98,c30
b68,c11
b81,c36
b1,c23
b71,c37
b11,c91
b82,c92
b24,c90
b42,c18
b94,c9
b62,c78
b24,c11
b93,c58
b33,c68
b43,c53
b39,c3
b97,c60
b17,c95
b25,c7
b93,c83
b42,c6
b87,c80
b3,c42
b18,c61
b87,c52
b25,c95
b5,c6
b48,c60
b26,c56
b28,c22
b22,c41
b45,c7
b54,c69
b31,c73
b13,c28
b11,c22
b55,c3
b99,c54
b39,c50
b35,c9
b94,c95
b99,c48
b98,c36
b74,c95
b68,c9
b9,c7
b44,c81
b85,c68
b70,c85
b51,c36
b22,c98
b89,c7
b10,c62
b75,c56
b8,c48
b99,c81
b73,c38
b58,c87
b54,c48
b19,c17
b90,c65
b97,c15
b3,c2
b64,c66
b81,c10
b12,c18
b81,c89
b88,c76
b66,c16
b0,c20
b11,c2
b26,c30
b14,c68
b19,c22
b22,c91
b21,c81
b24,c34
b73,c13
b51,c95
b95,c19
b89,c59
b63,c96
b8,c71
b56,c3
b64,c64
b10,c17
b8,c86
b95,c32
b42,c8
b74,c56
b91,c16
b70,c43
b91,c19
b13,c7
b48,c67
b32,c18
b33,c3
b64,c25
b16,c86
b30,c37
b39,c69
b49,c18
b98,c21
b15,c5
b10,c59
b79,c49
b97,c64
b96,c12
b24,c20
b29,c80
b23,c83
b30,c99
b55,c1
b59,c19
b92,c7
b39,c17
b9,c47
b82,c32
b39,c43
b8,c52
b61,c86
b54,c47
b89,c96
b25,c44
b46,c88
b45,c14
b27,c62
b20,c2
b40,c21
b79,c25
b47,c95
b95,c50
b75,c37
b28,c33
b11,c17
b14,c61
b70,c51
b60,c16
b7,c17
b38,c57
b91,c61
b4,c0
b89,c37
b73,c56
b97,c39
b91,c73
b94,c93
b73,c62
b26,c75
b39,c96
b95,c69
b93,c75
b60,c6
b76,c34
b41,c45
b38,c77
b96,c65
b83,c94
b35,c60
b71,c47
b40,c62
b63,c80
b86,c82
b93,c34
b6,c51
b33,c43
b55,c78
b47,c29
b42,c46
b57,c19
b67,c47
b64,c39
b87,c53
b93,c67
b78,c28
b67,c38
b81,c23
b62,c83
b95,c25
b28,c94
b95,c13
b99,c39
b49,c70
b13,c5
b12,c79
b92,c69
b69,c60
b85,c73
b11,c65
b27,c97
b54,c44
b41,c51
b30,c0
b48,c57
b31,c57
b56,c30
b5,c3
b56,c59
b7,c81
b54,c15
b41,c46
b67,c97
b66,c47
b81,c64
b37,c34
b96,c7
b76,c77
b94,c52
b11,c58
b82,c12
b54,c77
b14,c80
b59,c90
b60,c66
b57,c10
b45,c45
b9,c40
b81,c19
b81,c85
b12,c97
b24,c36
b55,c87
b89,c35
b87,c82
b84,c60
b16,c96
b14,c11
b52,c19
b22,c74
b25,c76
b55,c86
b2,c70
b59,c8
b79,c16
b49,c76
b88,c63
b31,c75
b33,c20
b32,c60
b73,c57
b54,c81
b37,c72
b59,c12
b7,c68
b75,c85
b10,c28
b54,c34
b7,c91
b89,c24
b98,c45
b60,c17
b31,c88
b81,c94
b88,c94
b72,c25
b12,c0
b95,c34
b73,c89
b47,c98
b61,c2
b25,c40
b49,c64
b86,c73
b97,c4
b38,c65
b34,c98
b82,c63
b0,c44
b0,c37
b61,c74
b67,c74
b6,c94
b0,c8
b63,c76
b39,c4
b15,c23
b39,c30
b46,c47
b62,c1
b58,c46
b53,c68
b87,c70
b64,c3
b83,c75
b42,c84
b16,c81
b52,c51
b82,c87
b45,c50
b16,c2
b85,c84
b11,c45
b52,c27
b3,c95
b28,c86
b72,c57
b38,c8
b61,c46
b86,c85
b20,c36
b11,c77
b10,c50
b26,c69
b33,c92
b3,c44
b0,c86
b82,c89
b84,c47
b40,c76
b59,c44
b89,c27
b42,c81
b78,c12
b10,c76
b69,c72
b28,c31
b70,c87
b32,c55
b80,c20
b65,c18
b29,c98
b69,c66
b0,c63
b36,c82
b40,c51
b30,c39
b94,c51
b16,c37
b36,c28
b25,c53
b67,c79
b2,c37
b87,c15
b59,c38
b85,c21
b80,c80
b32,c80
b2,c59
b58,c27
b19,c87
b32,c84
b75,c80
b55,c47
b82,c22
b43,c96
b27,c29
b9,c6
b96,c75
b44,c74
b88,c43
b1,c57
b65,c78
b23,c95
b41,c54
b59,c33
b5,c35
b7,c35
b14,c35
b41,c73
b37,c53
b93,c98
b68,c68
b46,c77
b49,c30
b35,c66
b28,c70
b29,c10
b94,c56
b26,c39
b63,c61
b55,c54
b38,c34
b26,c65
b40,c30
b49,c94
b62,c41
b3,c22
b88,c59
b15,c85
b91,c91
b8,c87
b68,c62
b14,c69
b65,c83
b38,c1
b37,c59
b71,c15
b36,c83
b27,c68
b35,c48
b79,c68
b1,c91
b90,c95
b43,c54
b47,c69
b4,c67
b83,c0
b16,c92
b18,c28
b10,c9
b61,c95
b98,c7
b29,c62
b51,c51
b39,c22
b66,c73
b69,c95
b78,c58
b22,c64
b77,c12
b50,c52
b99,c87
b41,c47
b4,c32
b38,c17
b78,c56
b90,c20
b80,c33
b16,c1
b86,c43
b89,c86
b40,c31
b40,c82
b0,c4
b61,c44
b10,c11
b34,c49
b71,c55
b88,c2
b36,c43
b14,c38
b83,c14
b58,c55
b27,c95
b74,c68
b48,c95
b72,c55
b32,c96
b24,c66
b86,c38
b62,c3
b29,c46
b66,c63
b53,c63
b9,c24
b52,c88
b76,c92
b16,c80
b8,c83
b8,c10
b17,c35
b25,c1
b4,c93
b18,c6
b89,c38
b32,c15
b29,c74
b85,c69
b99,c97
b45,c53
b33,c30
b24,c56
b28,c73
b93,c55
b36,c71
b10,c46
b86,c80
b64,c35
b66,c94
b88,c39
b48,c92
b68,c67
b4,c60
b49,c12
b75,c96
b85,c47
b88,c20
b43,c64
b38,c72
b42,c51
b18,c40
b59,c4
b69,c38
b4,c9
b9,c93
b57,c11
b23,c16
b94,c76
b60,c36
b22,c37
b18,c4
b99,c36
b17,c56
b48,c64
b98,c16
b36,c48
b95,c58
b33,c28
b51,c79
b64,c45
b0,c93
b77,c27
b96,c21
b91,c37
b43,c94
b34,c70
b40,c93
b81,c5
b56,c65
b19,c32
b68,c84
b90,c59
b95,c28
b82,c3
b77,c41
b60,c49
b47,c53
b27,c57
b65,c77
b68,c8
b61,c51
b46,c33
b92,c68
b16,c72
b14,c67
b71,c20
b96,c23
b27,c74
b43,c5
b18,c21
b2,c86
b6,c70
b97,c6
b98,c25
b97,c36
b86,c22
b4,c33
b93,c5
b62,c33
b68,c40
b47,c27
b44,c62
b82,c25
b10,c58
b61,c49
b91,c59
b69,c0
b5,c7
b35,c23
b4,c7
b47,c94
b89,c28
b25,c72
b13,c37
b49,c27
b64,c2
b87,c9
b74,c87
b75,c89
b75,c35
b20,c69
b6,c20
b8,c18
b98,c11
b8,c16
b96,c10
b29,c56
b69,c88
b66,c11
b91,c74
b85,c93
b16,c38
b20,c16
b36,c69
b53,c93
b82,c44
b34,c89
b72,c36
b77,c95
b0,c47
b5,c24
b90,c45
b1,c83
b85,c92
b24,c69
b64,c75
b23,c41
b62,c34
b10,c83
b79,c77
b37,c47
b79,c46
b6,c61
b48,c0
b78,c6
b30,c16
b19,c49
b82,c46
b3,c76
b42,c87
b95,c87
b75,c20
b19,c88
b84,c83
b9,c52
b23,c52
b11,c23
b94,c5
b8,c38
b45,c8
b99,c8
b32,c24
b17,c92
b8,c41
b52,c61
b91,c8
b43,c25
b42,c0
b54,c49
b90,c55
b62,c16
b44,c10
b40,c72
b35,c41
b65,c86
b2,c91
b31,c17
b84,c97
b56,c10
b95,c68
b70,c83
b95,c90
b53,c57
b63,c47
b27,c79
b3,c66
b74,c55
b15,c9
b65,c75
b79,c45
b91,c33
b58,c39
b48,c24
b97,c96
b21,c12
b17,c11
b30,c52
b0,c87
b26,c72
b42,c57
b25,c20
b77,c15
b89,c8
b93,c20
b35,c63
b0,c88
b71,c59
b84,c82
b40,c98
b74,c30
b2,c24
b65,c60
b15,c41
b37,c94
b9,c2
b33,c89
b4,c17
b12,c63
b72,c51
b57,c60
b29,c26
b18,c50
b1,c13
b63,c66
b57,c83
b40,c12
b0,c39
b35,c19
b56,c51
b74,c79
b56,c68
b60,c33
b64,c92
b53,c62
b12,c65
b17,c65
b76,c88
b20,c41
b25,c58
b43,c76
b71,c89
b46,c64
b31,c78
b61,c54
b92,c91
b32,c14
b30,c91
b37,c45
b3,c14
b67,c95
b63,c71
b22,c57
b13,c36
b35,c38
b95,c46
b15,c6
b29,c38
b2,c22
b99,c77
b54,c76
b90,c24
b37,c36
b11,c82
b29,c25
b20,c1
b51,c78
b56,c29
b5,c71
b85,c99
b20,c39
b94,c18
b88,c7
b24,c35
b80,c4
b36,c4
b55,c53
b30,c8
b16,c59
b78,c41
b87,c99
b70,c65
b78,c8
b5,c69
b56,c20
b95,c70
b10,c72
b71,c85
b75,c95
b49,c69
b93,c64
b58,c5
b42,c39
b44,c17
b73,c68
b19,c52
b26,c38
b26,c66
b27,c41
b51,c97
b47,c52
b27,c67
b9,c59
b16,c12
b36,c80
b31,c1
b17,c46
b14,c63
b52,c76
b34,c71
b12,c11
b15,c29
b50,c44
b10,c44
b64,c57
b67,c17
b91,c99
b6,c29
b98,c12
b82,c61
b65,c33
b9,c96
b20,c21
b9,c71
b19,c34
b18,c92
b75,c49
b15,c22
b99,c93
b33,c52
b8,c64
b2,c18
b93,c61
b58,c15
b53,c55
b90,c86
b36,c16
b25,c14
b79,c9
b44,c98
b77,c19
b35,c22
b97,c68
b14,c32
b5,c50
b27,c72
b99,c27
b21,c70
b44,c42
b14,c18
b90,c75
b7,c10
b23,c20
b25,c89
b50,c20
b67,c59
b18,c76
b30,c55
b5,c54
b63,c33
b22,c29
b84,c37
b34,c99
b72,c67
b53,c61
b22,c80
b20,c63
b69,c63
b50,c70
b60,c34
b60,c55
b66,c70
b76,c24
b79,c15
b14,c70
b87,c27
b2,c81
b9,c53
b80,c2
b6,c86
b56,c77
b4,c44
b34,c1
b14,c90
b80,c42
b28,c89
b84,c69
b54,c65
b76,c67
b77,c46
b91,c30
b13,c41
b5,c0
b1,c93
b71,c2
b41,c1
b57,c6
b9,c17
b27,c71
b91,c23
b6,c47
b3,c90
b31,c99
b47,c26
b29,c93
b73,c32
b16,c30
b17,c22
b64,c24
b26,c54
b18,c72
b55,c55
b86,c33
b59,c37
b34,c46
b23,c32
b83,c22
b77,c10
b12,c15
b84,c11
b62,c23
b60,c88
b92,c29
b27,c77
b39,c42
b99,c66
b38,c39
b28,c40
b99,c64
b58,c81
b76,c43
b5,c99
b53,c72
b72,c0
b93,c11
b33,c12
b45,c20
b85,c59
b50,c90
b84,c94
b94,c23
b89,c81
b88,c71
b35,c47
b18,c47
b19,c74
b16,c78
b89,c97
b8,c66
b43,c68
b17,c43
b85,c28
b5,c60
b11,c63
b87,c50
b67,c85
b70,c92
b35,c4
b61,c31
b25,c56
b62,c71
b18,c86
b8,c9
b76,c95
b43,c73
b80,c65
b89,c84
b8,c24
b71,c94
b99,c52
b82,c77
b75,c44
b89,c30
b42,c14
b4,c47
b78,c24
b43,c80
b77,c35
b74,c60
b73,c83
b95,c33
b31,c80
b63,c90
b29,c96
b83,c11
b2,c32
b34,c36
b81,c77
b57,c15
b18,c84
b84,c7
b52,c1
b92,c53
b64,c43
b7,c24
b72,c34
b17,c75
b23,c68
b82,c52
b83,c27
b40,c34
b88,c73
b72,c4
b69,c85
b90,c93
b41,c43
b18,c0
b25,c18
b5,c79
b93,c87
b34,c15
b36,c52
b89,c58
b76,c0
b58,c24
b39,c72
b96,c50
b86,c14
b66,c45
b52,c82
b16,c54
b66,c27
b66,c12
b26,c16
b34,c9
b90,c22
b29,c4
b70,c20
b87,c20
b29,c52
b5,c4
b61,c62
b98,c4
b14,c17
b74,c90
b13,c66
b84,c43
b7,c39
b57,c28
b63,c9
b49,c74
b78,c29
b20,c98
b38,c2
b72,c66
b31,c56
b83,c71
b88,c12
b41,c63
b4,c38
b25,c4
b14,c7
b85,c78
b77,c97
b47,c21
b97,c28
b73,c40
b68,c94
b76,c83
b9,c68
b15,c97
b44,c69
b13,c16
b15,c71
b83,c21
b38,c6
b1,c28
b43,c62
b73,c71
b64,c59
b77,c44
b93,c41
b60,c72
b78,c88
b93,c90
b14,c28
b40,c9
b14,c64
b26,c53
b86,c39
b52,c39
b39,c87
b92,c72
b48,c89
b76,c15
b10,c64
b68,c90
b43,c70
b49,c41
b21,c22
b27,c89
b43,c18
b99,c94
b98,c24
b90,c97
b87,c32
b91,c31
b48,c79
b52,c47
b25,c17
b28,c92
b47,c30
b3,c38
b28,c48
b47,c50
b89,c92
b69,c84
b24,c59
b5,c45
b16,c73
b3,c83
b96,c9
b85,c20
b87,c73
b20,c52
b6,c92
b7,c14
b23,c86
b56,c63
b60,c83
b85,c58
b91,c24
b12,c96
b30,c92
b85,c30
b24,c29
b2,c31
b39,c12
b15,c64
b84,c30
b28,c16
b52,c45
b90,c36
b99,c2
b96,c49
b99,c17
b39,c57
b88,c47
b19,c18
b6,c2
b86,c13
b8,c90
b40,c6
b97,c87
b87,c51
b80,c94
b90,c88
b6,c6
b41,c6
b71,c83
b63,c4
b53,c24
b68,c54
b17,c20
b46,c83
b49,c78
b14,c72
b78,c69
b98,c73
b49,c1
b94,c90
b16,c88
b24,c2
b38,c30
b3,c72
b90,c2
b33,c50
b42,c25
b0,c57
b81,c34
b48,c22
b48,c84
b31,c20
b35,c16
b29,c3
b99,c24
b44,c73
b91,c10
b82,c51
b87,c68
b72,c10
b22,c42
b24,c84
b27,c94
b23,c60
b4,c30
b4,c65
b66,c39
b94,c68
b34,c39
b68,c52
b76,c59
b62,c6
b50,c82
b78,c23
b35,c25
b34,c76
b50,c64
b20,c71
b85,c50
b12,c64
b99,c75
b97,c44
b88,c32
b52,c24
b50,c59
b19,c53
b1,c44
b19,c30
b62,c9
b80,c91
b30,c40
b23,c61
b1,c31
b54,c78
b45,c56
b83,c80
b97,c14
b58,c8
b67,c18
b91,c86
b31,c55
b1,c18
b55,c70
b78,c32
b10,c39
b76,c90
b73,c30
b97,c49
b58,c45
b2,c21
b38,c31
b95,c84
b74,c46
b47,c16
b98,c15
b71,c60
b65,c95
b17,c88
b72,c61
b78,c42
b23,c80
b42,c19
b85,c64
b35,c83
b78,c49
b10,c45
b96,c14
b17,c48
b80,c7
b19,c66
b8,c75
b73,c82
b26,c41
b44,c58
b81,c50
b77,c85
b56,c60
b21,c24
b30,c77
b86,c97
b5,c75
b78,c90
b56,c49
b93,c8
b94,c14
b47,c90
b28,c4
b6,c80
b29,c95
b45,c18
b36,c73
b34,c86
b34,c54
b92,c14
b4,c13
b84,c53
b54,c58
b27,c21
b9,c51
b49,c60
b94,c10
b58,c25
b46,c44
b52,c60
b11,c55
b15,c87
b95,c52
b21,c5
b40,c89
b39,c82
b79,c61
b82,c43
b76,c46
b47,c47
b35,c20
b62,c54
b49,c17
b91,c41
b4,c15
b30,c76
b57,c77
b85,c95
b53,c90
b62,c44
b88,c97
b78,c11
b16,c60
b55,c31
b21,c35
b96,c58
b68,c12
b23,c28
b83,c92
b4,c71
b13,c73
b21,c57
b92,c50
b27,c45
b80,c10
b26,c20
b14,c88
b41,c62
b81,c0
b56,c52
b98,c13
b24,c49
b11,c15
b63,c34
b3,c86
b63,c1
b13,c9
b66,c72
b56,c86
b17,c51
b47,c40
b87,c2
b68,c36
b50,c35
b44,c5
b54,c61
b36,c40
b60,c64
b75,c61
b37,c29
b22,c2
b7,c43
b16,c43
b37,c41
b26,c81
b29,c67
b18,c58
b64,c89
b48,c20
b28,c47
b23,c93
b36,c14
b27,c65
b12,c93
b73,c46
b93,c95
b2,c5
b53,c13
b46,c76
b49,c99
b21,c54
b2,c79
b6,c18
b89,c18
b94,c24
b44,c35
b82,c7
b72,c63
b93,c24
b8,c77
b9,c29
b38,c91
b74,c77
b7,c80
b60,c93
b30,c49
b0,c13
b69,c59
b8,c56
b80,c83
b21,c1
b31,c29
b20,c66
b34,c93
b17,c68
b34,c85
b54,c88
b5,c9
b36,c68
b24,c47
b93,c91
b82,c68
b44,c19
b0,c0
b83,c31
b14,c52
b80,c34
b61,c33
b39,c19
b35,c86
b24,c48
b98,c51
b81,c93
b1,c26
b24,c67
b75,c42
b32,c68
b39,c64
b38,c18
b77,c45
b40,c66
b21,c50
b92,c60
b23,c98
b97,c23
b16,c22
b91,c2
b66,c22
b93,c32
b35,c50
b93,c57
b83,c79
b4,c76
b71,c61
b12,c50
b30,c30
b6,c90
b47,c76
b99,c28
b28,c7
b69,c86
b38,c97
b31,c4
b95,c15
b34,c13
b2,c57
b93,c39
b97,c98
b93,c63
b31,c13
b61,c83
b19,c21
b34,c52
b12,c76
b26,c85
b68,c69
b82,c72
b99,c67
b25,c29
b78,c22
b99,c18
b88,c60
b85,c11
b27,c1
b68,c79
b74,c54
b26,c49
b93,c46
b55,c23
b53,c11
b91,c45
b70,c13
b53,c83
b34,c78
b73,c37
b62,c90
b26,c33
b7,c51
b92,c2
b69,c17
b82,c73
b92,c61
b54,c10
b21,c23
b17,c79
b47,c89
b6,c15
b9,c60
b88,c4
b98,c50
b69,c97
b21,c98
b79,c82
b34,c94
b79,c19
b61,c24
b33,c96
b56,c14
b50,c29
b42,c74
b79,c18
b95,c29
b42,c44
b39,c89
b31,c62
b76,c39
b74,c0
b76,c49
b36,c84
b50,c89
b63,c35
b39,c68
b2,c6
b46,c23
b31,c76
b24,c76
b76,c4
b84,c26
b42,c60
b48,c59
b37,c50
b21,c79
b5,c20
b6,c95
b37,c65
b10,c47
b81,c29
b8,c88
b66,c6
b38,c22
b60,c50
b39,c34
b44,c95
b83,c19
b67,c55
b51,c99
b11,c44
b30,c69
b80,c31
b40,c87
b86,c25
b94,c84
b89,c89
b43,c58
b82,c31
b77,c94
b25,c99
b76,c8
b8,c95
b34,c21
b96,c43
b47,c64
b42,c23
b17,c10
b9,c61
b36,c42
b44,c7
b23,c15
b39,c45
b47,c75
b79,c81
b48,c32
b39,c90
b97,c58
b27,c59
b88,c74
b85,c26
b27,c85
b95,c48
b45,c79
b65,c63
b9,c87
b69,c6
b88,c93
b55,c58
b12,c4
b24,c4
b95,c57
b32,c94
b46,c66
b7,c2
b74,c1
b13,c51
b48,c47
b53,c66
b4,c58
b88,c86
b75,c19
b20,c51
b70,c68
b97,c92
b63,c45
b15,c13
b29,c58
b98,c5
b65,c43
b71,c72
b60,c99
b40,c19
b69,c92
b6,c10
b55,c8
b61,c81
b37,c35
b55,c93
b49,c97
b2,c55
b50,c16
b67,c50
b17,c23
b72,c43
b13,c49
b0,c12
b69,c22
b36,c76
b16,c85
b44,c26
b44,c4
b55,c85
b58,c99
b87,c79
b8,c62
b16,c93
b91,c65
b4,c96
b39,c46
b81,c32
b25,c6
b38,c56
b24,c13
b12,c71
b5,c57
b47,c1
b63,c0
b18,c67
b78,c21
b11,c30
b76,c53
b20,c5
b29,c33
b49,c35
b69,c33
b19,c55
b52,c5
b14,c94
b35,c0
b43,c4
b31,c85
b95,c93
b73,c34
b57,c63
b79,c48
b61,c85
b14,c58
b72,c70
b13,c42
b18,c33
b85,c23
b22,c70
b38,c43
b78,c39
b64,c52
b0,c80
b85,c67
b47,c82
b30,c15
b63,c24
b38,c94
b71,c39
b90,c51
b75,c36
b59,c46
b45,c91
b43,c44
b42,c3
b32,c87
b0,c58
b24,c17
b26,c51
b18,c71
b13,c83
b21,c65
b85,c13
b2,c50
b68,c81
b86,c20
b44,c97
b83,c99
b69,c78
b58,c34
b87,c67
b2,c84
b55,c69
b11,c35
b17,c13
b17,c17
b87,c34
b32,c95
b9,c35
b96,c20
b11,c28
b82,c13
b24,c15
b79,c29
b66,c57
b73,c29
b8,c27
b7,c56
b37,c58
b22,c44
b72,c48
b22,c18
b70,c73
b61,c43
b93,c59
b82,c35
b96,c42
b77,c92
b87,c3
b24,c41
b80,c55
b93,c51
b81,c48
b8,c65
b26,c86
b28,c60
b58,c18
b39,c14
b16,c32
b68,c28
b36,c53
b17,c86
b61,c42
b71,c1
b92,c75
b50,c95
b84,c80
b43,c79
b56,c85
b31,c18
b32,c56
b30,c53
b5,c17
b47,c33
b84,c4
b34,c10
b42,c33
b41,c10
b89,c63
b26,c79
b38,c69
b78,c46
b38,c44
b71,c69
b60,c57
b18,c66
b57,c27
b87,c48
b48,c76
b19,c58
b38,c12
b96,c84
b8,c6
b6,c98
b23,c84
b58,c0
b35,c29
b19,c69
b80,c85
b59,c73
b12,c38
b35,c69
b5,c90
b5,c29
b25,c67
b72,c75
b39,c95
b11,c34
b72,c89
b56,c67
b69,c87
b75,c59
b51,c11
b23,c3
b64,c61
b92,c1
b44,c45
b86,c59
b31,c41
b56,c26
b49,c33
b9,c89
b9,c75
b12,c73
b51,c2
b55,c43
b90,c34
b35,c76
b80,c46
b3,c20
b99,c58
b40,c46
b59,c92
b61,c13
b94,c67
b91,c97
b58,c64
b51,c49
b89,c49
b68,c91
b77,c8
b47,c41
b74,c27
b86,c7
b83,c84
b82,c97
b93,c79
b20,c65
b54,c0
b4,c42
b21,c80
b34,c41
b39,c28
b26,c64
b69,c52
b95,c60
b95,c66
b70,c10
b53,c94
b90,c60
b20,c55
b86,c86
b16,c77
b78,c80
b8,c30
b54,c39
b21,c0
b94,c12
b65,c26
b53,c35
b96,c61
b67,c92
b63,c36
b11,c79
b19,c47
b80,c92
b67,c84
b99,c20
b99,c91
b98,c53
b16,c29
b55,c56
b0,c11
b8,c22
b10,c56
b47,c70
b47,c31
b30,c80
b77,c39
b10,c73
b19,c48
b30,c18
b20,c75
b47,c23
b24,c58
b32,c62
b97,c70
b81,c98
b89,c32
b98,c38
b57,c95
b35,c81
b88,c64
b16,c11
b88,c99
b93,c16
b92,c71
b65,c68
b26,c82
b70,c60
b55,c13
b36,c47
b37,c68
b76,c80
b60,c46
b11,c70
b24,c23
b85,c97
b53,c7
b98,c72
b21,c15
b61,c10
b64,c96
b65,c70
b53,c40
b20,c76
b99,c32
b96,c22
b74,c66
b83,c58
b41,c74
b62,c4
b48,c45
b87,c65
b17,c24
b7,c77
b99,c63
b93,c53
b17,c62
b31,c60
b92,c31
b36,c36
b92,c25
b13,c61
b85,c24
b91,c40
b98,c80
b64,c91
b21,c21
b69,c16
b28,c59
b33,c37
b1,c59
b40,c56
b37,c32
b11,c66
b77,c88
b66,c60
b53,c75
b77,c63
b11,c27
b34,c18
b30,c46
b60,c60
b37,c77
b74,c58
b57,c35
b44,c40
b70,c37
b2,c85
b50,c43
b37,c46
b77,c34
b98,c29
b96,c89
b68,c31
b92,c10
b43,c21
b26,c17
b52,c37
b55,c21
b35,c26
b63,c60
b18,c35
b3,c39
b25,c50
b23,c39
b31,c3
b63,c28
b96,c64
b76,c13
b90,c14
b16,c94
b35,c6
b37,c12
b3,c12
b97,c16
b42,c47
b65,c10
b26,c35
b98,c93
b97,c52
b88,c88
b34,c74
b12,c20
b82,c47
b8,c26
b83,c34
b69,c54
b43,c2
b80,c43
b41,c16
b42,c13
b5,c82
b62,c99
b67,c49
b92,c34
b6,c87
b7,c58
b59,c60
b90,c74
b55,c32
b56,c84
b32,c40
b73,c7
b85,c66
b96,c53
b35,c27
b43,c11
b17,c91
b34,c79
b69,c58
b72,c16
b96,c24
b47,c61
b25,c79
b47,c81
b30,c93
b44,c36
b11,c25
b59,c67
b16,c0
b38,c95
b64,c46
b6,c59
b40,c35
b33,c41
b9,c12
b58,c12
b79,c85
b10,c42
b6,c19
b87,c98
b4,c29
b7,c27
b26,c58
b84,c19
b75,c88
b41,c88
b11,c14
b58,c84
b1,c84
b7,c59
b77,c90
b72,c82
b56,c79
b51,c50
b9,c65
b26,c3
b75,c0
b37,c22
b83,c98
b7,c9
b1,c95
b45,c11
b43,c65
b46,c80
b33,c4
b32,c57
b29,c73
b68,c58
b33,c84
b10,c19
b20,c42
b86,c50
